Loaded ItemDrops
Item:Amber, Type:Material
Item:AmberPearl, Type:Material
Item:AncientSeed, Type:Material
Item:ArmorBronzeChest, Type:Chest
Item:ArmorBronzeLegs, Type:Legs
Item:ArmorIronChest, Type:Chest
Item:ArmorIronLegs, Type:Legs
Item:ArmorLeatherChest, Type:Chest
Item:ArmorLeatherLegs, Type:Legs
Item:ArmorPaddedCuirass, Type:Chest
Item:ArmorPaddedGreaves, Type:Legs
Item:ArmorRagsChest, Type:Chest
Item:ArmorRagsLegs, Type:Legs
Item:ArmorTrollLeatherChest, Type:Chest
Item:ArmorTrollLeatherLegs, Type:Legs
Item:ArmorWolfChest, Type:Chest
Item:ArmorWolfLegs, Type:Legs
Item:ArrowBronze, Type:Ammo
Item:ArrowFire, Type:Ammo
Item:ArrowFlint, Type:Ammo
Item:ArrowFrost, Type:Ammo
Item:ArrowIron, Type:Ammo
Item:ArrowNeedle, Type:Ammo
Item:ArrowObsidian, Type:Ammo
Item:ArrowPoison, Type:Ammo
Item:ArrowSilver, Type:Ammo
Item:ArrowWood, Type:Ammo
Item:AtgeirBlackmetal, Type:TwoHandedWeapon
Item:AtgeirBronze, Type:TwoHandedWeapon
Item:AtgeirIron, Type:TwoHandedWeapon
Item:AxeBlackMetal, Type:OneHandedWeapon
Item:AxeBronze, Type:OneHandedWeapon
Item:AxeFlint, Type:OneHandedWeapon
Item:AxeIron, Type:OneHandedWeapon
Item:AxeStone, Type:OneHandedWeapon
Item:Barley, Type:Material
Item:BarleyFlour, Type:Material
Item:BarleyWine, Type:Consumable
Item:BarleyWineBase, Type:Material
Item:Battleaxe, Type:TwoHandedWeapon
Item:BeechSeeds, Type:Material
Item:BeltStrength, Type:Utility
Item:BlackMetal, Type:Material
Item:BlackMetalScrap, Type:Material
Item:Bloodbag, Type:Material
Item:BloodPudding, Type:Consumable
Item:Blueberries, Type:Consumable
Item:BombOoze, Type:OneHandedWeapon
Item:BoneFragments, Type:Material
Item:Bow, Type:Bow
Item:BowDraugrFang, Type:Bow
Item:BowFineWood, Type:Bow
Item:BowHuntsman, Type:Bow
Item:Bread, Type:Consumable
Item:Bronze, Type:Material
Item:BronzeNails, Type:Material
Item:CapeDeerHide, Type:Shoulder
Item:CapeLinen, Type:Shoulder
Item:CapeLox, Type:Shoulder
