$item_amber, Material, Horizontal
$item_amberpearl, Material, Horizontal
$item_ancientseed, Material, Horizontal
$item_chest_bronze, Chest, Horizontal
$item_legs_bronze, Legs, Horizontal
$item_chest_iron, Chest, Horizontal
$item_legs_iron, Legs, Horizontal
$item_chest_leather, Chest, Horizontal
$item_legs_leather, Legs, Horizontal
$item_chest_pcuirass, Chest, Horizontal
$item_legs_pgreaves, Legs, Horizontal
$item_chest_rags, Chest, Horizontal
$item_legs_rags, Legs, Horizontal
$item_chest_trollleather, Chest, Horizontal
$item_legs_trollleather, Legs, Horizontal
$item_chest_wolf, Chest, Horizontal
$item_legs_wolf, Legs, Horizontal
$item_arrow_bronze, Ammo, Horizontal
$item_arrow_fire, Ammo, Horizontal
$item_arrow_flint, Ammo, Horizontal
$item_arrow_frost, Ammo, Horizontal
$item_arrow_iron, Ammo, Horizontal
$item_arrow_needle, Ammo, Horizontal
$item_arrow_obsidian, Ammo, Horizontal
$item_arrow_poison, Ammo, Horizontal
$item_arrow_silver, Ammo, Horizontal
$item_arrow_wood, Ammo, Horizontal
$item_atgeir_blackmetal, TwoHandedWeapon, Horizontal
$item_atgeir_bronze, TwoHandedWeapon, Horizontal
$item_atgeir_iron, TwoHandedWeapon, Horizontal
$item_axe_blackmetal, OneHandedWeapon, Horizontal
$item_axe_bronze, OneHandedWeapon, Horizontal
$item_axe_flint, OneHandedWeapon, Horizontal
$item_axe_iron, OneHandedWeapon, Horizontal
$item_axe_stone, OneHandedWeapon, Horizontal
$item_barley, Material, Horizontal
$item_barleyflour, Material, Horizontal
$item_barleywine, Consumable, Horizontal
$item_barleywinebase, Material, Horizontal
$item_battleaxe, TwoHandedWeapon, Horizontal
$customization_beard01, Customization, Horizontal
$customization_beard10, Customization, Horizontal
$customization_beard02, Customization, Horizontal
$customization_beard03, Customization, Horizontal
$customization_beard04, Customization, Horizontal
$customization_beard05, Customization, Horizontal
$customization_beard06, Customization, Horizontal
$customization_beard07, Customization, Horizontal
$customization_beard08, Customization, Horizontal
$customization_beard09, Customization, Horizontal
$customization_nobeard, Customization, Horizontal
$item_beechseeds, Material, Horizontal
$item_beltstrength, Utility, Horizontal
$item_blackmetal, Material, Horizontal
$item_blackmetalscrap, Material, Horizontal
